Country,Port,USD per m3
Micronesia,Chuuk,140
Micronesia,Chuuk,140
Micronesia,Kosrae Island,138
Micronesia,Pohnpei,140
Micronesia,Yap,136
Mongol,Ulaanbaatar,
Mongol,Zamiin-Uud,
Montserrat,Philipsburg,176
Myanmar,Yangon,54
Nauru,Nauru,
Netherlands,Amsterdam,83
Netherlands,Rotterdam,86
Netherlands Antilles,Aruba,173
Netherlands Antilles,Curacao,173
Netherlands Antilles,Philipsburg,176
New Caledonia,Noumea,193
New Zealand,Auckland,
New Zealand,Lyttelton,
New Zealand,Nelson,
New Zealand,Wellington,
Niue,Auckland,
Norway,Drammen,118
Oman,Sohar,68
Pakistan,Karachi,117
Palau,Koror,136
Panama,Balboa,143
Panama,Manzanillo,100
Papua New Guinea,Kavieng,
Papua New Guinea,Kimbe,
Papua New Guinea,Lae,125
Papua New Guinea,Madang,
Papua New Guinea,Port Moresby,125
Papua New Guinea,Wewak,
Paraguay,Iquique,
Paraguay,Iquique,
Paraguay,Iquique,
Paraguay,Iquique,
Peru,Matarani,
Poland,Gdynia,135
Quatar,Doha,74
Russian Federation,Vladivostok,55
Saint Kitts And Nevis,Basseterre,160
Samoa,Apia,162
Samoa,Apia,165
Samoa,Apia,
Saudi Arabia,Dammam,67
Senegal ,Dakar,198
Senegal ,Monrovia,
Singapore,Singapore,
Singapore,Singapore,
Solomon Islands,Honiara,209
Somalia,Mombasa,80
Spain,Barcelona,83
Sri Lanka,Colombo,75
Sri Lanka,Hambatota,67
St. Lucia,Port Castries,156
St. Maarten,Philipsburg,176
St. Vincent,Kingstown,156
Suriname,Paramaribo,134
Sweden,Gotenburg,111
Taiwan,Taipei,
Thailand,Laem Chabang,
Thailand,Laem Chabang,
Togo,Lome,198
Tonga,Nukualofa,182
Trinidad And Tobago,Port of Spain,139
Turkey,Derince,96
Turkey,Mersin,
Turks And Caicos Islands,Grand Turk,
Tuvalu,Funafuti,538
UAE,Abu Dhabi,66
UAE,Dubai,78
UAE,Jebel Ali,66
UAE,Sharjah,78
Ukraine,Illichivsk,140
Ukraine,Ukraina,
United Kingdom,Bristol,102
United Kingdom,Liverpool,122
United Kingdom,Newcastle,83
U.S.A,Guam,112
Vanuatu,Port Villa,226
Vietnam,Hai Phong,
Vietnam,Da Nang,
Vietnam,Cam Ranh,
Vietnam,Saigon ,
Netherlands,Amsterdam,88
Belgium ,Antwerpen,110
Luxembourg,Antwerpen,110
Jordan,Aqaba,144
Spain,Barcelona,88
Cayman Islands,Georgetown/Cayman,171
Germany,Bremerhaven,110
Djibouti,Djibouti,135
Ethiopia,Djibouti,135
France,Le Havre,88
Tonga,Nukualofa,
Tonga,Nukualofa,
Netherlands,Rotterdam,110
Pakistan,Karachi,118
United Kingdom,Newcastle,86
Taiwan,Taipei,
